plcy_cntrct_num,bus_entity,lob_typ_cd,plcy_st_cd,srvd_chnl_cd,agt_of_recrd_num,plcy_incept_dt,cncl_dt,prior_plcy,src_sys_cd,resdc_zip_5_cd
POL001,FARMERS,AUTO,CA,EA,AGT001,2025-01-15,,,,90210
POL002,FARMERS,AUTO,TX,EA,AGT002,2025-02-01,,,,75001
POL003,FARMERS,AUTO,CA,EA,AGT001,2024-06-01,2025-01-10,OLDPOL003,,90212
POL004,FARMERS,FIRE,IL,EA,AGT003,2025-03-01,,,,60601
POL005,FWS,AUTO,FL,IA,AGT004,2025-01-20,,,,33101
POL006,FWS,FIRE,NY,IA,AGT005,2025-02-14,,,,10001
POL007,FARMERS,AUTO,CA,EA,AGT001,2025-04-01,,,,90213
POL008,FARMERS,AUTO,CA,GWPC,AGT006,2025-01-05,2025-03-10,,GWPC,90214
POL009,FWS,AUTO,TX,IA,AGT007,2025-03-15,,,,75002
POL010,FARMERS,FIRE,CA,EA,AGT001,2025-01-10,,,,90215
POL011,FARMERS,AUTO,NY,EA,AGT008,2024-11-01,2025-01-20,OLDPOL011,,10002
POL012,FWS,AUTO,CA,IA,AGT009,2025-02-28,,,,90216
POL013,FARMERS,AUTO,CA,EA,AGT001,2025-05-01,,,,90217
POL014,FARMERS,FIRE,TX,GWPC,AGT010,2025-01-25,,,GWPC,75003
POL015,FWS,FIRE,FL,IA,AGT004,2025-02-01,,,,33102
